股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
600132	重庆啤酒	102.65	+0.34	0.68	37.92	20.32	啤酒	['全国社保基金一一八组合', '全国社保基金一零八组合']	2	2023-04-28	0	0	26	--	--
600133	东湖高新	6.42	+1.58	4.24	8.37	0.82	其他基础建设	[]	0	2023-04-21	0	0	1.26	--	--
600135	乐凯胶片	7.34	+0.96	1.21	131.43	1.52	其他家用轻工	[]	0	2023-04-26	0	0	0.21	--	--
600136	*ST明诚	2.59	+4.86	1.62	--	--	影视动漫	[]	0	2023-04-27	0	0	0	--	--
600137	浪莎股份	15.34	-0.39	1.37	94.69	2.82	其他服装	[]	0	2023-04-25	0	0	1.3	--	--
600138	中青旅	13.44	-0.30	2.58	--	1.62	旅游综合	['全国社保基金六零一组合']	1	2023-04-01	0	0	0	--	--
600141	兴发集团	24.29	-2.25	1.69	5.92	1.30	磷化工及磷酸盐	['全国社保基金一一七组合', '广发基金管理有限公司-社保基金四二零组合']	2	2023-03-21	0	0	10	--	--
600143	金发科技	8.91	0.00	0.45	12.66	1.41	改性塑料	[]	0	2023-04-25	0	0	2.3	--	--
600148	长春一东	13.53	-0.37	0.41	--	4.13	汽车零部件	[]	0	2023-04-27	0	0	0	--	--
600149	廊坊发展	5.62	+1.63	1.85	--	13.46	综合	[]	0	2023-04-22	0	0	0	--	--
600151	航天机电	8.73	-2.78	0.69	--	2.35	光伏设备	[]	0	2023-03-31	0	0	0	--	--
600152	维科技术	9.39	-2.09	2.23	--	2.64	其他电子	[]	0	2023-04-18	0	0	0	--	--
600153	建发股份	11.11	+1.74	1.76	5.52	0.72	物流	['全国社保基金一一六组合', '全国社保基金一零七组合']	2	2023-03-31	0	0	8	--	--
600155	华创阳安	6.98	+0.72	1.67	32.49	0.81	证券	[]	0	2023-04-28	0	0	0	--	--
600156	华升股份	4.42	+0.45	0.76	--	3.88	纺织服装	[]	0	2023-04-21	0	0	0	--	--
600157	永泰能源	1.53	-0.65	0.86	16.98	0.76	火电	[]	0	2023-04-28	0	0	0	--	--
600158	中体产业	9.81	-0.91	2.76	702.45	3.80	其他文化传媒	[]	0	2023-04-25	0	0	0.04	--	--
600159	大龙地产	2.69	+2.28	1.69	--	0.99	房地产开发	[]	0	2023-04-22	0	0	0	--	--
600160	巨化股份	14.82	-0.94	0.93	17.40	2.56	氟化工及制冷剂	['全国社保基金一一八组合']	1	2023-04-21	0	0	2.7	--	--
600161	天坛生物	27.07	-2.56	0.58	43.83	4.92	生物制品	['全国社保基金一一二组合']	1	2023-04-25	0	0	0.5	--	--
600162	香江控股	2.02	+1.51	1.03	22.52	0.98	房地产开发	[]	0	2023-04-08	0	0	1.2	--	--
600163	中闽能源	5.34	+0.19	0.71	14.24	1.68	新能源发电	[]	0	2023-04-20	0	0	1	--	--
600165	宁科生物	4.18	-1.42	2.29	--	5.01	其他化学制品	[]	0	2023-04-28	0	0	0	--	--
600166	福田汽车	3.33	+1.22	1.07	117.19	1.96	商用载货车	['全国社保基金一一八组合']	1	2023-04-29	0	0	0	--	--
600167	联美控股	6.56	+1.71	0.52	15.60	1.33	热电	[]	0	2023-04-29	0	0	2.1	--	--
600168	武汉控股	6.09	+0.16	0.31	--	0.85	水务	[]	0	2023-03-18	0	0	0	--	--
600169	太原重工	2.50	0.00	0.60	38.78	1.64	机械设备	[]	0	2023-04-27	0	0	0	--	--
600170	上海建工	2.97	+4.21	2.59	14.77	0.88	房屋建设	[]	0	2023-04-18	0	0	0.5	--	--
600171	上海贝岭	18.68	+0.48	1.31	46.22	3.11	集成电路	[]	0	2023-03-28	0	0	2	--	--
600172	黄河旋风	4.48	-1.75	1.51	--	1.97	磨具磨料	[]	0	2023-04-22	0	0	0	--	--
600173	卧龙地产	5.50	+3.58	1.37	12.28	1.02	房地产开发	[]	0	2023-04-08	0	0	1	--	--
600176	中国巨石	15.10	+2.72	0.69	10.61	2.12	玻纤	['全国社保基金一零一组合', '全国社保基金四零一组合']	2	2023-03-21	0	0	5.21	--	--
600177	雅戈尔	6.96	+0.72	0.48	8.44	0.82	房地产开发	[]	0	2023-04-29	0	0	5	--	--
