股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
300097	智云股份	5.45	-1.62	1.84	--	3.26	其它专用机械	[]	0	2023-04-28	0	0	0	--	--
300098	高新兴	3.50	-1.13	1.48	--	1.97	通信配套服务	[]	0	2023-04-15	0	0	0	--	--
300099	精准信息	6.42	-0.77	0.75	46.41	1.96	冶金矿采化工设备	[]	0	2023-04-28	0	0	1.35	--	--
300100	双林股份	7.18	-1.24	0.61	33.51	1.34	汽车零部件	[]	0	2023-04-19	0	0	0	--	--
300101	振芯科技	22.50	-1.36	1.31	44.83	7.57	航天装备	['全国社保基金一一五组合']	1	2023-04-19	0	0	0	--	--
300102	乾照光电	6.22	-1.43	0.72	--	1.41	LED	[]	0	2023-04-21	0	0	0	--	--
300103	达刚控股	6.45	+1.26	1.90	--	2.84	其它专用机械	[]	0	2023-04-26	0	0	0	--	--
300105	龙源技术	6.60	-1.79	1.21	38.21	1.81	火电设备	[]	0	2023-04-14	0	0	2	--	--
300106	西部牧业	8.10	-0.12	1.47	132.90	2.82	畜禽养殖	[]	0	2023-04-25	0	0	0	--	--
300107	建新股份	4.91	-1.41	1.13	50.15	1.85	其他化学制品	[]	0	2023-04-15	0	0	0.6	--	--
300108	*ST吉药	2.08	+0.48	4.13	--	24.46	中药	[]	0	2023-04-28	0	0	0	--	--
300109	新开源	25.58	-0.81	1.75	21.87	2.54	其他化学制品	[]	0	2023-04-27	0	0	5	--	--
300110	华仁药业	4.20	-1.41	1.01	25.22	1.93	化学制剂	[]	0	2023-03-25	0	0	0.21	--	--
300111	向日葵	3.42	-3.39	1.02	--	6.84	光伏设备	[]	0	2023-04-26	0	0	0	--	--
300112	万讯自控	9.25	-1.80	1.94	31.23	2.32	仪器仪表	[]	0	2023-04-25	0	0	2	--	--
300113	顺网科技	17.95	-0.99	10.90	--	6.62	互联网信息服务	[]	0	2023-04-22	0	0	0.7	--	--
300114	中航电测	50.52	+3.29	5.81	156.72	12.88	仪器仪表	[]	0	2023-03-22	0	0	0.3	--	--
300115	长盈精密	11.43	+0.70	1.73	87.75	2.45	电子零部件制造	[]	0	2023-03-31	0	0	0	--	--
300116	保力新	1.56	-0.64	0.65	--	23.93	储能设备	[]	0	2023-04-27	0	0	0	--	--
300117	嘉寓股份	3.47	-1.98	1.37	--	80.42	其他建材	[]	0	2023-04-22	0	0	0	--	--
300118	东方日升	23.90	-2.77	3.44	26.13	1.86	光伏设备	[]	0	2023-04-22	0	0	2	--	--
300119	瑞普生物	21.30	-2.61	1.28	28.06	2.32	动物保健	[]	0	2023-04-01	0	0	3	--	--
300120	经纬辉开	7.24	-2.29	2.84	140.30	1.31	显示器件	[]	0	2023-04-26	0	0	0.5	--	--
300121	阳谷华泰	9.38	-1.26	1.22	7.74	1.32	其他橡胶制品	['全国社保基金一一三组合']	1	2023-04-25	0	0	2	--	--
300122	智飞生物	78.46	-1.17	0.54	16.41	4.78	生物制品	['全国社保基金一一零组合']	1	2023-03-21	4	1	5	--	--
300123	亚光科技	7.18	-2.97	3.12	--	2.66	航天装备	['全国社保基金六零四组合']	1	2023-04-27	0	0	0	--	--
300124	汇川技术	58.76	-1.98	0.93	35.94	7.50	工控自动化	['全国社保基金一一四组合']	1	2023-04-25	0	0	3.6	--	--
300125	聆达股份	15.79	-1.68	1.54	1,077.70	6.42	新能源发电	[]	0	2023-03-21	0	0	0	--	--
300126	锐奇股份	5.80	-0.85	0.91	1,728.39	1.61	其它通用机械	[]	0	2023-04-22	0	0	0.1	--	--
